SIG_CD,SIDO_NM,SIGUNGU_NM,SIGUNGU_ROOT,key_exact,key_root,centroid_lon,centroid_lat,nearest_station,mean_temp,sum_rain,sum_sun,ratio_sun,forest,agri,urban,water,sbv_count,apiary_n,response
11060,서울,동대문구,동대문구,서울::동대문구,서울::동대문구,127.05185030441083,37.58447635850652,108,26.566666666666666,83.83333333333333,232.53333333333333,53.78,0.14288377874456185,0,0.8088875077688005,0.013610938471100065,0,0,0
11070,서울,중랑구,중랑구,서울::중랑구,서울::중랑구,127.09314736985809,37.595394907382115,108,26.566666666666666,83.83333333333333,232.53333333333333,53.78,0.33234689271204293,0.0011536339469328384,0.5850428850880273,0.004614535787731354,0,0,0
11080,서울,성북구,성북구,서울::성북구,서울::성북구,127.02709163392815,37.60698662403173,108,26.566666666666666,83.83333333333333,232.53333333333333,53.78,0.4084683820000738,5.16814943334933e-4,0.5521429362471852,1.4766141238140942e-4,0,0,0
11090,서울,강북구,강북구,서울::강북구,서울::강북구,127.004785653978,37.647025604189714,108,26.566666666666666,83.83333333333333,232.53333333333333,53.78,0.6211189554391559,1.1386927806877705e-4,0.35132467926820005,0,0,0,0
11100,서울,도봉구,도봉구,서울::도봉구,서울::도봉구,127.03282639562657,37.66592590699741,108,26.566666666666666,83.83333333333333,232.53333333333333,53.78,0.5224896985469529,0,0.44094556495337234,4.337453914552158e-5,0,0,0
11110,서울,노원구,노원구,서울::노원구,서울::노원구,127.07327066768264,37.65515203562539,108,26.566666666666666,83.83333333333333,232.53333333333333,53.78,0.48595313489550346,0.0012412919569347687,0.4265737808739708,4.559848005066497e-4,0,0,0
11120,서울,은평구,은평구,서울::은평구,서울::은평구,126.92663708363277,37.61748210461685,108,26.566666666666666,83.83333333333333,232.53333333333333,53.78,0.5987867287677534,8.912655971479501e-4,0.37801161520326604,1.1500201253521937e-4,0,0,0
11130,서울,서대문구,서대문구,서울::서대문구,서울::서대문구,126.93317912225405,37.582858951494174,108,26.566666666666666,83.83333333333333,232.53333333333333,53.78,0.43777067436584866,0,0.5325840379459683,2.0622808826562179e-4,0,0,0
11140,서울,마포구,마포구,서울::마포구,서울::마포구,126.89803990165736,37.56228618236144,108,26.566666666666666,83.83333333333333,232.53333333333333,53.78,0.20839114876214124,0.004454830935514496,0.5555393266632586,0.1915942452347915,0,0,0
11150,서울,양천구,양천구,서울::양천구,서울::양천구,126.86217967464309,37.52703380988201,108,26.566666666666666,83.83333333333333,232.53333333333333,53.78,0.3693425500782078,0.00464201019223977,0.5645088046823755,0.004843836722337152,0,0,0
